"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"Afghanistan","DSB",60.26,15.7,"10 Not Free",38041757,18799450743,0.488,34627.787320493
"Afghanistan","DSB",60.26,15.7,"10 Not Free",38041757,18799450743,0.488,984230.160474268
"Albania","CSB",59.31,15.17,"67 Partly Free",2854191,15401830754,0.81,6008.14544726192
"Albania","CSB",59.31,15.17,"67 Partly Free",2854191,15401830754,0.81,101178.053369366
"Algeria","BWH",68,20,"32 Not Free",43053054,1.71767e+11,0.748,58692.069803933
"Algeria","BWH",68,20,"32 Not Free",43053054,1.71767e+11,0.748,1167611.91181929
"Andorra","CFB",44.91,7.17,"93 Free",77146,3155149348,0.873,75.7554237257474
"Andorra","CFB",44.91,7.17,"93 Free",77146,3155149348,0.873,1121.36731152582
"Angola","AW",75.87,24.37,"30 Not Free",31825299,69309104807,0.595,9300.47490587737
"Angola","AW",75.87,24.37,"30 Not Free",31825299,69309104807,0.595,236138.527589134
"Antigua and Barbuda","AF",80.85,27.14,"85 Free",97115,1687533333,0.8,78.1917158977803
"Antigua and Barbuda","AF",80.85,27.14,"85 Free",97115,1687533333,0.8,1464.09259450502
"Argentina","CFA",64.83,18.24,"84 Free",44938712,4.52818e+11,0.852,45371.1877528416
"Argentina","CFA",64.83,18.24,"84 Free",44938712,4.52818e+11,0.852,779135.372024324
"Armenia","DFB",50.72,10.4,"55 Partly Free",2957728,13619291361,0.778,9255.38924825276
"Armenia","DFB",50.72,10.4,"55 Partly Free",2957728,13619291361,0.778,158462.320159822
"Australia","BWH",68.67,20.37,"95 Free",25365745,1.39195e+12,0.941,26633.2620669326
"Australia","BWH",68.67,20.37,"95 Free",25365745,1.39195e+12,0.941,372503.850784609
"Austria","DFB",47.88,8.82,"93 Free",8879920,4.45012e+11,0.919,18087.0195286844
"Austria","DFB",47.88,8.82,"93 Free",8879920,4.45012e+11,0.919,233396.404942632
"Azerbaijan","BSK",58.05,14.47,"9 Not Free",10024283,48174235294,0.761,27208.6838916108
"Azerbaijan","BSK",58.05,14.47,"9 Not Free",10024283,48174235294,0.761,563323.128536864
"Bahrain","BWH",82.36,27.98,"12 Not Free",1641164,38653318085,0.882,863.354886916744
"Bahrain","BWH",82.36,27.98,"12 Not Free",1641164,38653318085,0.882,23146.6164878572
"Bangladesh","AW",81.93,27.74,"39 Partly Free",163046173,3.51238e+11,0.644,131010.166246466
"Bangladesh","AW",81.93,27.74,"39 Partly Free",163046173,3.51238e+11,0.644,3075696.4231537
"Barbados","AM",81.7,27.61,"95 Free",287021,5304164323,0.799,342.337861747597
"Barbados","AM",81.7,27.61,"95 Free",287021,5304164323,0.799,6051.37863428239
