Country,GDP,year,,,,
Belarus,"$6,838 ",2019,,,,
Belarus,"$6,360 ",2018,,,,
Belarus,"$5,786 ",2017,,,,
Belarus,"$5,040 ",2016,,,,
Belarus,"$5,967 ",2015,,,,
Belarus,"$8,341 ",2014,,,,
Belarus,"$7,998 ",2013,,,,
Belarus,"$6,953 ",2012,,,,
Belarus,"$6,527 ",2011,,,,
Belarus,"$6,034 ",2010,,,,
Belarus,"$5,353 ",2009,,,,
Belarus,"$6,377 ",2008,,,,
Belarus,"$4,736 ",2007,,,,
Belarus,"$3,847 ",2006,,,,
Belarus,"$3,126 ",2005,,,,
Belarus,"$2,379 ",2004,,,,
Belarus,"$1,820 ",2003,,,,
Belarus,"$1,479 ",2002,,,,
Belarus,"$1,244 ",2001,,,,
Belarus,"$1,276 ",2000,,,,
Belarus,"$1,211 ",1999,,,,
Belarus,"$1,511 ",1998,,,,
Belarus,"$1,396 ",1997,,,,
Belarus,"$1,453 ",1996,,,,
Belarus,"$1,371 ",1995,,,,
Belarus,"$1,460 ",1994,,,,
Belarus,"$1,590 ",1993,,,,
Belarus,"$1,668 ",1992,,,,
Belarus,"$1,766 ",1991,,,,
Belarus,"$2,125 ",1990,,,,
Ukraine,"$3,661 ",2019,,,,
Ukraine,"$3,097 ",2018,,,,
Ukraine,"$2,638 ",2017,,,,
Ukraine,"$2,188 ",2016,,,,
Ukraine,"$2,125 ",2015,,,,
Ukraine,"$3,105 ",2014,,,,
Ukraine,"$4,188 ",2013,,,,
Ukraine,"$4,005 ",2012,,,,
Ukraine,"$3,705 ",2011,,,,
Ukraine,"$3,078 ",2010,,,,
Ukraine,"$2,639 ",2009,,,,
Ukraine,"$4,067 ",2008,,,,
Ukraine,"$3,198 ",2007,,,,
Ukraine,"$2,391 ",2006,,,,
Ukraine,"$1,894 ",2005,,,,
Ukraine,"$1,417 ",2004,,,,
Ukraine,"$1,088 ",2003,,,,
Ukraine,$912 ,2002,,,,
Ukraine,$808 ,2001,,,,
Ukraine,"$1,475 ",2000,,,,
Ukraine,"$1,358 ",1999,,,,
Ukraine,"$1,241 ",1998,,,,
Ukraine,"$1,124 ",1997,,,,
Ukraine,"$1,008 ",1996,,,,
Ukraine,$891 ,1995,,,,
Ukraine,$774 ,1994,,,,
Ukraine,$657 ,1993,,,,
Ukraine,$541 ,1992,,,,
Ukraine,$424 ,1991,,,,
Ukraine,$307 ,1990,,,,
Uganda,$799 ,2019,,,,
Uganda,$771 ,2018,,,,
Uganda,$747 ,2017,,,,
Uganda,$737 ,2016,,,,
Uganda,$847 ,2015,,,,
Uganda,$884 ,2014,,,,
Uganda,$810 ,2013,,,,
Uganda,$790 ,2012,,,,
Uganda,$833 ,2011,,,,
Uganda,$823 ,2010,,,,
Uganda,$800 ,2009,,,,
Uganda,$833 ,2008,,,,
Uganda,$838 ,2007,,,,
Uganda,$843 ,2006,,,,
Uganda,$848 ,2005,,,,
Uganda,$853 ,2004,,,,
Uganda,$858 ,2003,,,,
Uganda,$863 ,2002,,,,
Uganda,$868 ,2001,,,,
Uganda,$872 ,2000,,,,
Uganda,$877 ,1999,,,,
Uganda,$882 ,1998,,,,
Uganda,$887 ,1997,,,,
Uganda,$892 ,1996,,,,
Uganda,$897 ,1995,,,,
Uganda,$902 ,1994,,,,
Uganda,$907 ,1993,,,,
Uganda,$912 ,1992,,,,
Uganda,$917 ,1991,,,,
Uganda,$922 ,1990,,,,
