measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1990,40174.10786800295,41743.45501559386,37727.04613725213
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1990,0.3691434044055337,0.3828721369698096,0.34673831086058715
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1990,383.6924437578844,398.68086973966433,360.3211943306879
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1991,41688.6284038594,43231.20199358849,39264.05144916941
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1991,0.36814554075322314,0.38096345008738997,0.346310473071635
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1991,397.1508954836873,411.8463773444837,374.0529201942175
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1993,47405.63700692928,48825.69672350308,44892.68031637801
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1993,0.37179062886354936,0.3824010865151246,0.3527808811231115
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1993,450.97898275132223,464.48828516472463,427.0727402967111
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1992,43020.46887563149,44531.19411969076,40457.09142249146
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1992,0.3670338151595195,0.37898416620778913,0.346187385295468
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1992,409.2610921525675,423.63288026844253,384.8752431953149
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1994,48596.359055001,50082.714421138226,45829.09839987342
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1994,0.37577708016510686,0.38617525350036297,0.356696193912531
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1994,462.9623289028399,477.12237206791116,436.5995012652984
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1995,50476.93804975199,51892.99138277037,47882.541961242474
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1995,0.3782001132549468,0.3880208454451506,0.359149668545224
1,Deaths,57,Belarus,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1995,482.0945825692007,495.61900910641174,457.3160530538726
