measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1991,1737.6718587131015,2142.1939115961723,1334.3521753559694
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1991,0.02194977883300234,0.026221116121112803,0.017832432608950382
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1991,29.079928940498597,35.84960325715359,22.330376271207033
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1990,1720.7384571049809,2130.3470219915116,1329.2969195799483
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1990,0.021881560058006833,0.026118978180457435,0.017745716205978757
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1990,29.366726130367883,36.35724958615998,22.686247536376438
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1992,1754.2296315644733,2171.0288866948445,1343.2871716609911
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1992,0.022006570296667728,0.02614139139022065,0.01770027790466194
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1992,28.7786706085788,35.61638914751406,22.037034576530772
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1993,1759.779357255202,2195.745496928819,1343.948410110838
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1993,0.021947663736680657,0.0259791723621346,0.01772455152107887
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1993,28.291349811774868,35.30022311895659,21.60618286756641
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1994,1763.5699541149938,2206.030015530779,1356.1536341807757
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1994,0.021893463435408385,0.02613300291659707,0.017609682560011775
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1994,27.773332928945052,34.74135286191605,21.357194420905554
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1995,1780.0557198965419,2230.7279289556727,1370.802763718264
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1995,0.02197954762900869,0.026335740063004993,0.017716974682455575
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1995,27.44886904096604,34.39833826746074,21.138094230265903
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1997,1750.664371210585,2208.719294029718,1346.8517646131102
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1997,0.019795555684120017,0.023811241937200134,0.015973005573079582
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1997,25.860242992573625,32.6264808865089,19.895254899022568
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1996,1778.4706290875688,2237.2791154342463,1372.136186242708
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1996,0.021891724915573257,0.026209189748461505,0.017645254968517404
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1996,26.840952509523888,33.76536081381828,20.708490547541277
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1998,1749.8927222386715,2222.081526888612,1331.562636638477
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1998,0.020195597680608208,0.02436471684480934,0.01628435600457175
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1998,25.296818262318443,32.12287921161452,19.249350314940486
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,1999,1741.2941819894145,2224.628950153186,1329.2200926523699
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,1999,0.020554342092642033,0.02460665493895544,0.016504162599233374
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,1999,24.615374408984383,31.44791678251841,18.790190991852704
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2001,1763.2848186637123,2274.100321753662,1325.5966836719517
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2001,0.021308127563861898,0.02574631778061334,0.017101298336639287
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2001,23.785838689638695,30.676486773294393,17.881642575041365
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2000,1759.7563231273357,2261.817449451607,1329.2360158439274
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2000,0.021013619904864726,0.025186392712903044,0.016945571033781522
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2000,24.308342134048694,31.24354871379126,18.361362550817173
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2002,1793.1269198148211,2331.9504359366256,1341.3213932455462
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2002,0.02162032090479455,0.026277962070222035,0.01718151129122614
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2002,23.60824985246973,30.70238248436595,17.659793199398248
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2003,1839.5569929905962,2424.8780024780526,1349.159147135248
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2003,0.022082897792783975,0.02701016974827393,0.017626205355600735
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2003,23.628107178682917,31.146236597234292,17.329214072235622
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2004,1891.7216950138686,2507.2895404069977,1376.3513998798026
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2004,0.022813256021264727,0.027905221627228777,0.018046207561323042
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2004,23.69357352245393,31.403482459547224,17.238626152958215
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2005,1932.3891219125483,2605.8546998744177,1404.681629028743
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2005,0.023219484956985118,0.028973647094205354,0.01828543250029268
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2005,23.58994736226749,31.811385453729972,17.14787426288969
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2006,1981.5689304239029,2704.783277940005,1428.8536848836889
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2006,0.023203305127199675,0.029233966800245918,0.018042242182539928
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2006,23.57098513392914,32.17370107896544,16.99637516911837
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2009,2089.3917279759794,2818.6309211674075,1474.9564858233277
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2009,0.02379065810798546,0.030750617804758858,0.01783868048903529
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2009,22.949512665067658,30.959348195632515,16.200663618313726
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2008,2055.210774431214,2804.2538933742126,1474.664133759901
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2008,0.02411379565709275,0.030983821650614828,0.018497365922007115
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2008,23.188199437471702,31.639381888149067,16.638101776385717
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2007,2017.8930489736078,2741.183096084041,1448.45131310176
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2007,0.023698357188597512,0.030130752079133738,0.018447139992629483
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2007,23.381576880990668,31.762428310341672,16.783384903816877
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2010,2125.826925668504,2875.825206724593,1512.734647383617
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2010,0.024572109811606672,0.03175807501287369,0.018249604709855528
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2010,22.732059912907488,30.752000602191682,16.17609327525177
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2011,2161.341918443927,2916.39944175324,1530.186368154534
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2011,0.02448513477890848,0.031677735067129606,0.0180027784668571
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2011,22.507696386844525,30.37068435012067,15.934993855348228
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2012,2197.4893965657284,2971.8700290115708,1555.0280597394885
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2012,0.025209015874683615,0.03265018684122411,0.018493522895867497
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2012,22.559930592256805,30.509899928749853,15.96427502747467
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2013,2228.38912046259,3027.658932950767,1555.0663897874858
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,2,Percent,2013,0.02517123606549178,0.03260850844217776,0.018505940973337354
1,Deaths,435,South Sudan,3,Both,22,All ages,493,Ischemic heart disease,3,Rate,2013,22.92081326541908,31.141960080623825,15.995135682698509
