"Country","Climate_Zone","Avg_Temp_F","Avg_Temp_C","Freedom_Score","Freedom_Status","Political_Rights","Civil_Liberties","Population","GDP","HDI","Heart_Disease_Deaths","Healthcare_Spending"
"Afghanistan","DSB",60.26,15.7,"10","Not Free",1,9,38041757,18799450743,0.488,34627.787320493,65.80603027
"Albania","CSB",59.31,15.17,"67","Partly Free",28,39,2854191,15401830754,0.81,6008.14544726192,NA
"Algeria","BWH",68,20,"32","Not Free",10,22,43053054,1.71767e+11,0.748,58692.069803933,248.2058716
"Andorra","CFB",44.91,7.17,"93","Free",38,55,77146,3155149348,0.873,75.7554237257474,2744.194336
"Angola","AW",75.87,24.37,"30","Not Free",10,20,31825299,69309104807,0.595,9300.47490587737,71.32600403
"Antigua and Barbuda","AF",80.85,27.14,"85","Free",33,52,97115,1687533333,0.8,78.1917158977803,760.2649536
"Argentina","CFA",64.83,18.24,"84","Free",35,49,44938712,4.52818e+11,0.852,45371.1877528416,945.9919434
"Armenia","DFB",50.72,10.4,"55","Partly Free",23,32,2957728,13619291361,0.778,9255.38924825276,523.9990845
"Australia","BWH",68.67,20.37,"95","Free",39,56,25365745,1.39195e+12,0.941,26633.2620669326,5427.462402
"Austria","DFB",47.88,8.82,"93","Free",37,56,8879920,4.45012e+11,0.919,18087.0195286844,5242.183105
"Azerbaijan","BSK",58.05,14.47,"9","Not Free",2,7,10024283,48174235294,0.761,27208.6838916108,193.1088409
"Bahrain","BWH",82.36,27.98,"12","Not Free",2,10,1641164,38653318085,0.882,863.354886916744,940.3956909
"Bangladesh","AW",81.93,27.74,"39","Partly Free",15,24,163046173,3.51238e+11,0.644,131010.166246466,45.85716248
"Barbados","AM",81.7,27.61,"95","Free",38,57,287021,5304164323,0.799,342.337861747597,1143.322021
"Belarus","DFB",47.59,8.66,"8","Not Free",2,6,9419758,64409647194,0.817,54617.8596974592,399.3970947
"Belgium","CFB",52.54,11.41,"96","Free",39,57,11488980,5.35376e+11,0.936,15145.6880380902,4960.393555
"Belize","AM",79.95,26.64,"87","Free",34,53,390351,1945250236,0.705,210.073349477565,293.4125977
"Benin","AW",84.42,29.12,"59","Partly Free",17,42,11801151,14391686633,0.53,4432.08806414425,29.12529182
