"year","Country","Death_Rate"
1990,"Belarus",0.00385232886414934
1990,"South_Sudan",3.33542268061346e-05
1990,"Uganda",0.000237164516417034
1990,"Ukraine",0.0456489176172167
1991,"Belarus",0.00398643671917411
1991,"South_Sudan",3.36283554796926e-05
1991,"Uganda",0.000241529870266624
1991,"Ukraine",0.0471764308246476
1993,"Belarus",0.00452322974844762
1993,"South_Sudan",3.39867347290371e-05
1993,"Uganda",0.00024402349600011
1993,"Ukraine",0.0518342407358826
1992,"Belarus",0.00410661042290959
1992,"South_Sudan",3.38751455979927e-05
1992,"Uganda",0.00024180717573679
1992,"Ukraine",0.0490587646345561
1994,"Belarus",0.0046390956193061
1994,"South_Sudan",3.4252475618973e-05
1994,"Uganda",0.000246133134304967
1994,"Ukraine",0.05318980523733
1995,"Belarus",0.00482492877347535
1995,"South_Sudan",3.4861175489807e-05
1995,"Uganda",0.000248748440013185
1995,"Ukraine",0.0548657343018384
1997,"Belarus",0.00493851711025254
1997,"South_Sudan",3.4895095641568e-05
1997,"Uganda",0.000252703098654447
1997,"Ukraine",0.0512170039751371
1996,"Belarus",0.00481589359643736
1996,"South_Sudan",3.51364576371013e-05
1996,"Uganda",0.000251722694282674
1996,"Ukraine",0.0533513016574502
1998,"Belarus",0.00507962562485743
1998,"South_Sudan",3.51766404232574e-05
1998,"Uganda",0.000255607368683042
1998,"Ukraine",0.0486949122060617
1999,"Belarus",0.00531489436935378
1999,"South_Sudan",3.53059606768064e-05
1999,"Uganda",0.000256591203368193
1999,"Ukraine",0.0497915895156628
2001,"Belarus",0.00548261082214736
2001,"South_Sudan",3.64205678126265e-05
2001,"Uganda",0.000262369202484399
2001,"Ukraine",0.0476061721111637
2000,"Belarus",0.00514586079136099
2000,"South_Sudan",3.60017418894046e-05
2000,"Uganda",0.000260529876816072
2000,"Ukraine",0.049681839490569
2002,"Belarus",0.00586481948006038
2002,"South_Sudan",3.73750802358832e-05
2002,"Uganda",0.000261344850416179
2002,"Ukraine",0.0470132596814224
2004,"Belarus",0.00581183171917085
2004,"South_Sudan",4.00263056163469e-05
2004,"Uganda",0.000256425376470548
2004,"Ukraine",0.0447507850154582
2003,"Belarus",0.00582764644170452
2003,"South_Sudan",3.86415743400545e-05
2003,"Uganda",0.000258481534666883
2003,"Ukraine",0.0456801947841343
2005,"Belarus",0.00601594907692254
2005,"South_Sudan",4.11912516040474e-05
2005,"Uganda",0.000252372145960229
2005,"Ukraine",0.0441326155057617
2008,"Belarus",0.00583638622269665
2008,"South_Sudan",4.46174496956461e-05
2008,"Uganda",0.000235812687658404
2008,"Ukraine",0.0384342629121772
2009,"Belarus",0.00596957753004805
2009,"South_Sudan",4.55563625613561e-05
2009,"Uganda",0.000230455112918542
2009,"Ukraine",0.0343425288961001
2007,"Belarus",0.00576151777849391
2007,"South_Sudan",4.3570705550615e-05
2007,"Uganda",0.000242614596246444
2007,"Ukraine",0.0400907658938395
2006,"Belarus",0.00594554252669099
2006,"South_Sudan",4.25297322264076e-05
2006,"Uganda",0.000248205323342079
2006,"Ukraine",0.0410073612034896
2010,"Belarus",0.00607498429546007
2010,"South_Sudan",4.65342905453384e-05
2010,"Uganda",0.00022550290529101
2010,"Ukraine",0.0322527234605205
2011,"Belarus",0.00625899838919939
2011,"South_Sudan",4.7485182253043e-05
2011,"Uganda",0.000223148964200063
2011,"Ukraine",0.0296760925054963
2015,"Belarus",0.00569532376913342
2015,"South_Sudan",5.11265691590371e-05
2015,"Uganda",0.000223146989248667
2015,"Ukraine",0.0295838860930991
2012,"Belarus",0.00576115954992455
2012,"South_Sudan",4.83962132542292e-05
2012,"Uganda",0.000223448794659452
2012,"Ukraine",0.0284909842478954
2013,"Belarus",0.00580809969735489
2013,"South_Sudan",4.9184105132456e-05
2013,"Uganda",0.00022504156941866
2013,"Ukraine",0.0272719159940507
2014,"Belarus",0.00579810007944152
2014,"South_Sudan",4.96898104828961e-05
2014,"Uganda",0.000224585639692435
2014,"Ukraine",0.0256279307227796
2016,"Belarus",0.00571584359862559
2016,"South_Sudan",5.19414162404199e-05
2016,"Uganda",0.000223899991997689
2016,"Ukraine",0.0290752362934749
2017,"Belarus",0.00574438165341089
2017,"South_Sudan",5.30337909151996e-05
2017,"Uganda",0.000221653367926075
2017,"Ukraine",0.0299960945289655
2018,"Belarus",0.00563246778176523
2018,"South_Sudan",5.47189506512915e-05
2018,"Uganda",0.000223368395723741
2018,"Ukraine",0.0315109797221509
2019,"Belarus",0.00564585729039907
2019,"South_Sudan",5.63513619992675e-05
2019,"Uganda",0.000223294269313925
2019,"Ukraine",0.0311910381540286
